course,sector,uni,state,course_type,duration,fee,uni_rank
Bachelor of Accounting,Business,La Trobe,VIC,Undergraduate,3,117000,17
Bachelor of Business,Business,La Trobe,VIC,Undergraduate,3,117600,17
Bachelor of Commerce,Business,La Trobe,VIC,Undergraduate,3,126000,17
Master of Business Administration,Business,La Trobe,VIC,Postgraduate,2,74000,17
Master of Logistics And Supply Chain Management,Business,La Trobe,VIC,Postgraduate,2,86000,17
Master of Marketing,Business,La Trobe,VIC,Postgraduate,2,86000,17
Bachelor of Computer Science,IT,La Trobe,VIC,Undergraduate,3,118800,17
Bachelor of Cybersecurity,IT,La Trobe,VIC,Undergraduate,3,118800,17
Bachelor of Information Technology,IT,La Trobe,VIC,Undergraduate,3,118800,17
Master of Artificial Intelligence,IT,La Trobe,VIC,Postgraduate,2,82000,17
Master of Data Science,IT,La Trobe,VIC,Postgraduate,2,82000,17
Master of Information Technology,IT,La Trobe,VIC,Postgraduate,2,82000,17
Master of Quantum Information Technology,IT,La Trobe,VIC,Postgraduate,2,82000,17
Bachelor of Civil Engineering (honours),Engineering,La Trobe,VIC,Undergraduate,4,162400,17
Bachelor of Engineering Honours (industrial),Engineering,La Trobe,VIC,Undergraduate,4,162400,17
Master of Civil Engineering,Engineering,La Trobe,VIC,Postgraduate,2,86000,17
Master of Construction And Engineering Management,Engineering,La Trobe,VIC,Postgraduate,2,86000,17
Master of Engineering,Engineering,La Trobe,VIC,Postgraduate,2,86000,17
Master of Engineering Management,Engineering,La Trobe,VIC,Postgraduate,2,86000,17
Master of Manufacturing Engineer,Engineering,La Trobe,VIC,Postgraduate,2,86000,17
Bachelor of Biomedicine,Health,La Trobe,VIC,Undergraduate,4,169600,17
Bachelor of Dental Science (honours),Health,La Trobe,VIC,Undergraduate,5,210000,17
Bachelor of Food And Nutrition,Health,La Trobe,VIC,Undergraduate,3,121200,17
Bachelor of Health Sciences,Health,La Trobe,VIC,Undergraduate,3,116400,17
Bachelor of Nursing,Health,La Trobe,VIC,Undergraduate,3,126600,17
Bachelor of Physiotherapy (honours),Health,La Trobe,VIC,Undergraduate,4,222000,17
Bachelor of Psychological Science,Health,La Trobe,VIC,Undergraduate,3,120000,17
Bachelor of Social Work (honours),Health,La Trobe,VIC,Undergraduate,4,140000,17
Bachelor of Sport And Exercise Science,Health,La Trobe,VIC,Undergraduate,3,121200,17
"Master of Counselling, Rehabilitation And Mental Health",Health,La Trobe,VIC,Postgraduate,2,82000,17
Master of Digital Health,Health,La Trobe,VIC,Postgraduate,2,74800,17
Master of Health Administration,Health,La Trobe,VIC,Postgraduate,2,80000,17
Master of Nursing,Health,La Trobe,VIC,Postgraduate,2,74800,17
Master of Strength And Conditioning,Health,La Trobe,VIC,Postgraduate,1.5,67800,17
Master of Public Health,Health,La Trobe,VIC,Postgraduate,2,79600,17
Bachelor of Accounting,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of Actuarial Studies,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of Business Administration,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of Commerce,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of Economics,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of Finance,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of International Business,Business,Australian National University,ACT,Undergraduate,3,160110,9
Bachelor of Statistics,Business,Australian National University,ACT,Undergraduate,3,160110,9
"Bachelor of Finance, Economics, And Statistics (honours)",Business,Australian National University,ACT,Undergraduate,4,213480,9
Master of Accounting,Business,Australian National University,ACT,Postgraduate,2,106750,9
Master of Actuarial Practice,Business,Australian National University,ACT,Postgraduate,2.5,133425,9
Master of Actuarial Studies,Business,Australian National University,ACT,Postgraduate,2,106740,9
